[2020-08-26 10:55:31,092 views.py:21] - index
[2020-08-26 10:56:26,120 views.py:21] - index
[2020-08-26 10:57:45,228 views.py:21] - index
[2020-08-26 11:01:17,651 views.py:21] - index
[2020-08-26 11:17:03,490 views.py:21] - index
[2020-08-26 11:17:25,429 views.py:21] - index
[2020-08-26 11:54:06,635 views.py:21] - index
[2020-08-26 11:55:47,359 views.py:21] - index
[2020-08-26 11:57:46,428 views.py:21] - index
[2020-08-26 11:57:48,803 views.py:21] - index
[2020-08-26 11:57:50,099 views.py:21] - index
[2020-08-26 11:57:58,474 views.py:21] - index
[2020-08-26 11:58:22,891 views.py:21] - index
[2020-08-26 11:59:12,898 views.py:21] - index
[2020-08-26 11:59:13,264 views.py:21] - index
[2020-08-26 11:59:19,010 views.py:21] - index
[2020-08-26 13:39:41,449 views.py:21] - index
[2020-08-26 13:40:37,655 views.py:21] - index
[2020-08-26 13:40:49,441 views.py:21] - index
[2020-08-26 13:40:52,048 views.py:21] - index
[2020-08-26 13:41:16,689 views.py:21] - index
[2020-08-26 13:46:51,408 views.py:21] - index
[2020-08-26 13:47:34,581 views.py:21] - index
[2020-08-26 13:47:59,472 views.py:21] - index
[2020-08-26 13:50:39,842 views.py:21] - index
[2020-08-26 13:50:41,976 views.py:21] - index
[2020-08-26 13:50:45,736 views.py:21] - index
[2020-08-26 13:50:58,559 views.py:21] - index
[2020-08-26 13:52:58,236 views.py:21] - index
[2020-08-26 13:53:36,447 views.py:21] - index
[2020-08-26 13:57:28,422 views.py:21] - index
[2020-08-26 14:13:08,706 views.py:20] - index
[2020-08-26 14:14:02,552 views.py:20] - index
[2020-08-26 14:17:31,353 views.py:20] - index
[2020-08-26 14:43:51,695 views.py:20] - index
[2020-08-26 14:45:49,467 views.py:20] - index
[2020-08-26 15:06:51,850 views.py:20] - index
[2020-08-26 15:07:03,718 views.py:20] - index
[2020-08-26 15:42:08,542 views.py:20] - index
[2020-08-26 16:06:29,037 views.py:20] - index
[2020-08-26 16:47:51,764 views.py:20] - index
[2020-08-26 16:59:19,114 views.py:20] - index
[2020-08-26 16:59:20,487 views.py:20] - index
